anime_id,name,genre,type,episodes,rating,members
5114,b'Fullmetal Alchemist: Brotherhood',"['Action', 'Adventure', 'Drama', 'Fantasy']",TV,64,9.14,2893493
28977,b'Gintama\xc2\xb0',"['Action', 'Comedy', 'Sci-Fi']",TV,51,9.08,536990
9253,b'Steins;Gate',"['Drama', 'Sci-Fi', 'Suspense']",TV,24,9.08,2245646
38524,b'Shingeki no Kyojin Season 3 Part 2',"['Action', 'Drama']",TV,10,9.07,1847582
9969,"b""Gintama'""","['Action', 'Comedy', 'Sci-Fi']",TV,51,9.05,473413
39486,b'Gintama: The Final',"['Action', 'Comedy', 'Drama', 'Sci-Fi']",Movie,1,9.05,103872
11061,b'Hunter x Hunter (2011)',"['Action', 'Adventure', 'Fantasy']",TV,148,9.05,2382619
15417,"b""Gintama': Enchousen""","['Action', 'Comedy', 'Sci-Fi']",TV,13,9.04,282329
42938,b'Fruits Basket: The Final',"['Drama', 'Romance', 'Supernatural']",TV,13,9.03,350828
820,b'Ginga Eiyuu Densetsu',"['Drama', 'Sci-Fi']",OVA,110,9.03,280661
50265,b'Spy x Family',"['Action', 'Comedy']",TV,12,9.02,770804
34096,b'Gintama.',"['Action', 'Comedy', 'Sci-Fi']",TV,12,8.99,269173
35180,b'3-gatsu no Lion 2nd Season',"['Drama', 'Slice of Life']",TV,22,8.96,352911
43608,b'Kaguya-sama wa Kokurasetai: Ultra Romantic',"['Comedy', 'Suspense']",TV,13,8.96,489257
918,b'Gintama',"['Action', 'Comedy', 'Sci-Fi']",TV,201,8.95,946035
28851,b'Koe no Katachi',['Drama'],Movie,1,8.95,1972749
37987,b'Violet Evergarden Movie',"['Drama', 'Fantasy', 'Slice of Life']",Movie,1,8.95,441843
4181,b'Clannad: After Story',"['Drama', 'Romance', 'Supernatural']",TV,24,8.94,1081977
15335,b'Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare',"['Action', 'Comedy', 'Sci-Fi']",Movie,1,8.93,210630
2904,b'Code Geass: Hangyaku no Lelouch R2',"['Action', 'Drama', 'Sci-Fi']",TV,25,8.91,1571598
35247,b'Owarimonogatari 2nd Season',"['Comedy', 'Mystery', 'Supernatural']",TV,7,8.9,349453
37491,b'Gintama.: Shirogane no Tamashii-hen - Kouhan-sen',"['Action', 'Comedy', 'Sci-Fi']",TV,14,8.88,164426
47778,b'Kimetsu no Yaiba: Yuukaku-hen',"['Action', 'Fantasy']",TV,11,8.87,890861
32281,b'Kimi no Na wa.',"['Drama', 'Supernatural']",Movie,1,8.87,2363551
48583,b'Shingeki no Kyojin: The Final Season Part 2',"['Action', 'Drama']",TV,12,8.85,869585
40028,b'Shingeki no Kyojin: The Final Season',"['Action', 'Drama']",TV,16,8.84,1596872
19,b'Monster',"['Drama', 'Mystery', 'Suspense']",TV,74,8.83,857171
50160,b'Kingdom 4th Season',['Action'],TV,26,8.82,27139
36838,b'Gintama.: Shirogane no Tamashii-hen',"['Action', 'Comedy', 'Sci-Fi']",TV,12,8.81,178182
40682,b'Kingdom 3rd Season',['Action'],TV,26,8.81,70336
37510,b'Mob Psycho 100 II',"['Action', 'Comedy', 'Supernatural']",TV,13,8.81,1239699
31758,b'Kizumonogatari III: Reiketsu-hen',"['Action', 'Mystery', 'Supernatural']",Movie,1,8.8,404030
32935,b'Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou',['Sports'],TV,10,8.79,1038178
44074,b'Shiguang Dailiren',"['Drama', 'Supernatural']",ONA,11,8.79,212954
17074,b'Monogatari Series: Second Season',"['Comedy', 'Mystery', 'Romance', 'Supernatural']",TV,26,8.78,611400
199,b'Sen to Chihiro no Kamikakushi',"['Adventure', 'Award Winning', 'Supernatural']",Movie,1,8.78,1614664
1,b'Cowboy Bebop',"['Action', 'Sci-Fi']",TV,26,8.76,1619460
33095,b'Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen',['Drama'],TV,12,8.75,169805
24701,b'Mushishi Zoku Shou 2nd Season',"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']",TV,10,8.74,237189
45576,b'Mushoku Tensei: Isekai Ittara Honki Dasu Part 2',"['Drama', 'Fantasy', 'Ecchi']",TV,12,8.74,595831
46102,b'Odd Taxi',['Mystery'],TV,13,8.74,310510
263,b'Hajime no Ippo',['Sports'],TV,75,8.74,483215
37521,b'Vinland Saga',"['Action', 'Adventure', 'Drama']",TV,24,8.73,1102628
21939,b'Mushishi Zoku Shou',"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']",TV,10,8.71,270092
44,b'Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen',"['Action', 'Drama', 'Romance']",OVA,4,8.71,257642
48569,b'86 Part 2',"['Action', 'Drama', 'Sci-Fi']",TV,12,8.71,311015
2921,b'Ashita no Joe 2',"['Action', 'Drama', 'Slice of Life', 'Sports']",TV,47,8.71,41889
33050,"b""Fate/stay night Movie: Heaven's Feel - III. Spring Song""","['Action', 'Fantasy', 'Supernatural']",Movie,1,8.71,275292
1575,b'Code Geass: Hangyaku no Lelouch',"['Action', 'Drama', 'Sci-Fi']",TV,25,8.7,1993108
245,b'Great Teacher Onizuka',"['Comedy', 'Drama']",TV,43,8.69,726625
40434,b'Mo Dao Zu Shi: Wanjie Pian',"['Action', 'Drama', 'Supernatural']",ONA,12,8.69,56915
164,b'Mononoke Hime',"['Action', 'Adventure', 'Fantasy']",Movie,1,8.68,1098200
40748,b'Jujutsu Kaisen (TV)',"['Action', 'Fantasy']",TV,24,8.68,1873802
34599,b'Made in Abyss',"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",TV,13,8.68,1137765
36862,b'Made in Abyss Movie 3: Fukaki Tamashii no Reimei',"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",Movie,1,8.68,327173
457,b'Mushishi',"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']",TV,26,8.67,741528
33352,b'Violet Evergarden',"['Drama', 'Fantasy', 'Slice of Life']",TV,13,8.67,1509781
23273,b'Shigatsu wa Kimi no Uso',"['Drama', 'Romance']",TV,22,8.66,1940562
5258,b'Hajime no Ippo: New Challenger',['Sports'],TV,26,8.66,243036
431,b'Howl no Ugoku Shiro',"['Adventure', 'Drama', 'Fantasy', 'Romance']",Movie,1,8.66,1131751
40456,b'Kimetsu no Yaiba Movie: Mugen Ressha-hen',"['Action', 'Fantasy']",Movie,1,8.66,1154966
28891,b'Haikyuu!! Second Season',['Sports'],TV,25,8.65,1242771
40591,b'Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen',['Comedy'],TV,12,8.65,1082990
11665,b'Natsume Yuujinchou Shi',"['Drama', 'Slice of Life', 'Supernatural']",TV,13,8.65,223179
21,b'One Piece',"['Action', 'Adventure', 'Fantasy']",TV,,8.65,1888661
3786,b'Evangelion: 3.0+1.0 Thrice Upon a Time',"['Action', 'Drama', 'Sci-Fi']",Movie,1,8.64,293720
34591,b'Natsume Yuujinchou Roku',"['Drama', 'Slice of Life', 'Supernatural']",TV,11,8.63,164814
40834,b'Ousama Ranking',"['Adventure', 'Fantasy']",TV,23,8.63,418889
2001,b'Tengen Toppa Gurren Lagann',"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",TV,27,8.63,1449146
22135,b'Ping Pong the Animation',"['Drama', 'Sports']",TV,11,8.62,343089
38329,b'Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai',"['Drama', 'Romance', 'Supernatural']",Movie,1,8.62,586663
35760,b'Shingeki no Kyojin Season 3',"['Action', 'Drama']",TV,12,8.62,1968058
7311,b'Suzumiya Haruhi no Shoushitsu',"['Mystery', 'Sci-Fi', 'Supernatural']",Movie,1,8.62,560955
1535,b'Death Note',"['Supernatural', 'Suspense']",TV,37,8.62,3416309
49310,b'Fruits Basket: Prelude',"['Drama', 'Romance']",Movie,1,8.6,57131
28957,b'Mushishi Zoku Shou: Suzu no Shizuku',"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']",Movie,1,8.6,115108
12355,b'Ookami Kodomo no Ame to Yuki',"['Fantasy', 'Slice of Life']",Movie,1,8.59,737150
19647,b'Hajime no Ippo: Rising',['Sports'],TV,25,8.59,216204
